student_id,age,gender,country,education_level,course_category,platform,course_duration_weeks,hours_per_week,quiz_scores_avg,assignment_completion_rate,forum_posts,videos_watched_pct,device,internet_speed,previous_courses_completed,financial_aid,course_price_usd,self_motivation_score,time_management_score,learning_disability,employment_status,completion_status,final_grade,satisfaction_rating
62,51,Male,USA,PhD,AI/ML,Coursera,9,1,37.24,20.53,88,47.33,Laptop,Fast,10,No,126.8,8,5,No,Student,Completed,F,4.1
63,29,Female,China,Master's,AI/ML,Udemy,5,14,56.89,35.28,26,68.9,Tablet,Fast,4,Yes,73.22,10,10,No,Employed,Completed,F,3.5
64,46,Female,Canada,Master's,Digital Marketing,Udemy,19,24,45.81,36.63,31,68.91,Tablet,Medium,11,Yes,54.61,10,5,No,Employed,Completed,F,3.8
65,30,Female,Japan,Master's,UX Design,Coursera,24,22,48.96,74.53,5,47.28,Desktop,Fast,19,No,198.72,6,7,No,Employed,Completed,F,4.5
66,23,Female,USA,High School,Cybersecurity,edX,29,11,75.53,59.94,40,39.08,Laptop,Medium,1,Yes,150.82,2,5,No,Employed,Dropped,F,2.9
67,29,Female,France,Bachelor's,AI/ML,edX,5,3,52.6,55.32,35,6.32,Desktop,Fast,10,Yes,97.08,2,10,No,Employed,In Progress,F,2.9
68,38,Male,India,Bachelor's,Web Development,Coursera,22,9,32.37,60.24,38,49.38,Laptop,Fast,10,Yes,10.0,8,6,No,Employed,Completed,F,4.0
69,55,Female,Australia,Bachelor's,Cloud Computing,Udemy,13,6,58.15,73.22,86,24.31,Desktop,Fast,20,No,38.32,4,7,No,Employed,Dropped,F,2.1
70,36,Male,France,High School,Cloud Computing,DataCamp,50,23,64.08,89.28,92,5.32,Laptop,Fast,0,No,59.76,8,2,No,Student,Completed,D,4.9
71,31,Male,Mexico,High School,Cloud Computing,Coursera,52,16,66.23,41.47,29,33.04,Desktop,Fast,16,No,97.44,9,3,No,Employed,Completed,D,4.3
72,33,Male,France,High School,Data Science,Udemy,49,11,61.83,80.29,85,8.75,Laptop,Fast,16,Yes,99.45,6,3,No,Employed,In Progress,D,3.6
73,39,Female,USA,Bachelor's,Mobile Development,Coursera,47,18,66.46,49.51,56,57.97,Laptop,Fast,3,No,4.95,9,1,No,Employed,Completed,D,4.7
74,41,Female,Canada,Master's,Web Development,Coursera,46,17,31.01,72.21,10,50.37,Tablet,Fast,13,Yes,188.67,6,9,No,Unemployed,Completed,F,3.9
75,40,Female,China,Master's,Cloud Computing,LinkedIn Learning,29,17,44.61,87.48,89,79.24,Laptop,Fast,4,Yes,108.56,3,10,No,Employed,Completed,F,3.7
76,44,Male,Mexico,Master's,Digital Marketing,Udemy,16,3,66.87,3.22,86,26.76,Tablet,Medium,3,No,3.95,8,9,No,Employed,In Progress,D,3.2
77,30,Female,Germany,Master's,Cloud Computing,edX,36,27,75.44,54.66,2,37.15,Desktop,Fast,5,No,140.27,1,9,No,Employed,Completed,C,4.6
78,16,Male,Japan,Bachelor's,AI/ML,Coursera,17,19,43.41,98.94,47,68.9,Desktop,Slow,17,Yes,14.27,6,9,No,Employed,Completed,F,3.8
79,40,Male,France,Bachelor's,Cybersecurity,LinkedIn Learning,20,24,36.53,49.62,5,99.29,Mobile,Fast,20,No,144.23,3,8,No,Employed,Completed,F,3.5
80,22,Female,France,Bachelor's,Data Science,Pluralsight,14,23,71.59,86.43,6,90.42,Laptop,Medium,12,Yes,140.3,10,5,No,Student,Completed,C,4.8
81,24,Male,Australia,Bachelor's,Digital Marketing,Coursera,50,15,22.22,18.59,43,52.08,Laptop,Fast,5,Yes,196.98,10,9,No,Employed,Completed,F,3.4
82,39,Male,USA,High School,Data Science,Coursera,6,10,0.95,60.43,60,67.79,Desktop,Fast,14,Yes,68.41,3,7,Yes,Employed,In Progress,F,3.0
83,16,Male,Australia,Bachelor's,AI/ML,Coursera,22,8,47.12,87.03,53,53.19,Desktop,Medium,4,No,28.87,9,2,No,Student,Completed,F,3.2
84,23,Male,Australia,Bachelor's,Data Science,LinkedIn Learning,40,17,17.34,43.15,50,43.48,Mobile,Fast,5,Yes,18.37,7,7,No,Employed,Completed,F,3.9
85,39,Male,Australia,Bachelor's,Mobile Development,Coursera,9,4,37.83,48.67,85,60.23,Laptop,Fast,17,No,14.35,2,4,No,Employed,Completed,F,4.0
86,26,Male,China,PhD,Cybersecurity,edX,32,8,29.12,8.2,47,38.65,Laptop,Medium,6,Yes,162.07,6,7,No,Unemployed,In Progress,F,2.5
87,32,Female,Australia,Bachelor's,Cloud Computing,Coursera,24,26,77.73,4.22,60,28.02,Mobile,Fast,5,No,143.71,4,7,No,Employed,In Progress,C,3.6
88,23,Female,Germany,High School,Cloud Computing,Coursera,33,2,33.14,46.87,96,70.57,Laptop,Fast,7,No,195.18,10,3,No,Employed,In Progress,F,2.8
89,50,Female,France,Bachelor's,Mobile Development,Coursera,13,23,64.07,84.35,39,87.2,Tablet,Fast,4,Yes,61.84,7,3,No,Employed,Dropped,F,2.2
90,50,Non-binary,India,Bachelor's,Data Science,Udemy,35,8,67.39,93.13,2,28.8,Laptop,Fast,3,No,160.62,4,10,No,Student,Completed,D,4.4
91,48,Male,Canada,High School,Cloud Computing,Coursera,6,30,45.65,65.87,29,70.69,Laptop,Medium,18,No,18.6,7,10,No,Student,Dropped,F,1.7
92,20,Female,Mexico,High School,Cybersecurity,Udemy,49,25,8.11,82.64,23,43.4,Desktop,Fast,9,Yes,180.78,6,6,No,Employed,Completed,F,2.9
93,54,Non-binary,Germany,Bachelor's,Data Science,edX,40,7,70.04,73.49,66,30.21,Tablet,Fast,8,No,10.37,8,2,No,Student,Completed,C,4.3
94,43,Male,Mexico,Master's,Web Development,Udemy,30,28,7.52,70.15,1,62.11,Desktop,Fast,0,No,157.58,7,8,No,Employed,Completed,F,2.6
95,22,Female,Canada,Bachelor's,Web Development,LinkedIn Learning,38,9,9.92,76.9,43,93.94,Tablet,Medium,18,No,61.47,9,8,No,Employed,In Progress,F,2.9
96,24,Male,India,Master's,Data Science,LinkedIn Learning,16,18,19.6,50.53,39,35.17,Desktop,Fast,11,No,36.24,4,4,No,Employed,Completed,F,3.8
97,23,Male,Brazil,Master's,AI/ML,LinkedIn Learning,1,27,28.04,45.79,18,75.95,Desktop,Fast,18,Yes,140.9,9,2,No,Employed,Completed,F,3.5
98,27,Male,Mexico,High School,Data Science,DataCamp,42,17,84.65,15.91,62,31.47,Mobile,Slow,12,No,179.18,5,9,No,Employed,Completed,B,4.3
99,49,Female,Mexico,Bachelor's,Cybersecurity,Udemy,18,1,67.49,84.38,23,80.39,Laptop,Slow,14,Yes,152.83,9,9,No,Employed,In Progress,D,3.4
100,48,Female,India,Bachelor's,Web Development,Coursera,22,27,38.72,4.46,49,76.0,Desktop,Fast,1,Yes,62.62,4,2,No,Unemployed,Completed,F,3.7
101,38,Female,USA,High School,Web Development,LinkedIn Learning,26,12,97.86,26.74,19,76.56,Mobile,Fast,19,No,70.71,3,10,No,Employed,In Progress,A,3.6
102,39,Male,Germany,Bachelor's,Blockchain,edX,14,4,24.36,51.99,56,99.77,Laptop,Medium,11,Yes,37.86,7,4,No,Student,Completed,F,3.5
103,52,Male,Nigeria,Bachelor's,AI/ML,edX,37,17,60.98,97.16,49,14.05,Desktop,Fast,17,Yes,164.81,4,1,No,Unemployed,Completed,D,4.0
104,50,Male,USA,High School,Web Development,Coursera,49,7,84.72,78.6,94,38.88,Laptop,Fast,20,Yes,21.42,5,6,No,Student,Completed,B,4.5
105,55,Male,USA,Master's,Cybersecurity,edX,14,24,80.2,36.87,57,63.08,Laptop,Slow,3,No,180.64,3,1,No,Employed,Completed,B,4.7
106,37,Female,USA,Master's,Web Development,DataCamp,26,3,9.03,71.39,30,59.05,Laptop,Fast,19,Yes,120.23,6,7,No,Unemployed,Completed,F,3.1
107,42,Male,Australia,Master's,Data Science,Udemy,50,30,69.73,93.14,36,78.06,Mobile,Fast,11,Yes,117.77,4,9,No,Student,Completed,D,3.9
108,50,Female,Japan,High School,Data Science,DataCamp,36,1,25.79,53.89,92,4.69,Laptop,Fast,19,Yes,167.56,1,9,No,Employed,In Progress,F,2.9
109,16,Female,Mexico,Master's,UX Design,Udemy,52,19,35.57,46.19,3,70.51,Desktop,Medium,12,No,133.51,2,2,No,Unemployed,Completed,F,3.6
110,50,Male,France,Bachelor's,Cloud Computing,Coursera,23,2,48.9,55.3,57,73.77,Desktop,Medium,3,No,60.85,8,8,No,Employed,Dropped,F,1.8
111,52,Female,Nigeria,High School,Digital Marketing,Udemy,2,6,79.08,31.15,9,6.11,Desktop,Fast,13,No,69.9,4,3,No,Employed,Completed,C,3.8
112,29,Male,USA,Master's,DevOps,edX,39,11,16.62,90.73,62,53.87,Laptop,Fast,20,No,34.61,10,5,No,Student,Completed,F,3.4
113,18,Male,Germany,Bachelor's,Blockchain,LinkedIn Learning,7,23,10.86,79.73,35,24.5,Mobile,Medium,17,No,92.81,2,4,No,Employed,Completed,F,3.1
114,16,Male,Japan,Bachelor's,Cloud Computing,edX,39,25,15.34,70.55,54,80.16,Laptop,Fast,5,No,22.03,4,6,No,Employed,Completed,F,2.9
115,20,Female,Japan,Bachelor's,Cloud Computing,edX,45,21,21.82,58.91,98,4.96,Laptop,Fast,0,No,130.61,7,7,No,Student,Dropped,F,1.2
116,41,Male,USA,High School,Web Development,Coursera,51,4,5.95,96.95,56,14.62,Tablet,Fast,9,No,33.85,2,9,No,Employed,Completed,F,3.3
117,29,Female,China,Bachelor's,Data Science,Udemy,22,1,92.64,29.77,84,10.45,Laptop,Fast,17,No,172.79,6,10,No,Student,Completed,A,5.0
118,54,Female,USA,Bachelor's,Cybersecurity,Udemy,28,11,31.91,28.31,42,6.52,Laptop,Medium,18,No,140.09,1,5,No,Employed,Completed,F,3.9
119,42,Male,China,Bachelor's,Cybersecurity,Skillshare,38,16,17.7,24.21,64,60.01,Desktop,Fast,1,No,178.3,3,2,No,Student,Completed,F,3.7
120,24,Female,USA,Bachelor's,UX Design,Udemy,20,30,63.78,74.18,11,86.85,Laptop,Fast,14,No,17.41,9,4,No,Student,Completed,D,4.5
121,30,Female,Nigeria,PhD,AI/ML,Codecademy,49,6,78.7,79.73,61,51.1,Desktop,Medium,2,No,159.7,5,2,No,Employed,In Progress,C,3.4
122,30,Male,Germany,Bachelor's,Cloud Computing,Udemy,18,11,75.32,59.71,23,21.06,Desktop,Fast,7,No,176.16,8,1,No,Employed,Completed,C,4.4
123,41,Male,China,Bachelor's,Cybersecurity,Coursera,24,8,71.87,65.2,1,34.38,Laptop,Slow,18,Yes,8.91,1,2,No,Student,In Progress,C,3.4
124,28,Female,Australia,Master's,Web Development,Udemy,33,20,5.05,34.9,46,36.04,Laptop,Fast,10,No,199.82,4,7,No,Student,In Progress,F,2.3
125,47,Male,Japan,Bachelor's,Cybersecurity,Udemy,45,1,78.22,3.98,55,45.16,Desktop,Fast,13,Yes,60.13,3,2,No,Employed,In Progress,C,3.5
126,54,Female,USA,High School,Cybersecurity,Skillshare,26,14,50.19,25.36,83,42.05,Laptop,Fast,15,Yes,42.34,10,4,No,Employed,Completed,F,4.3
127,47,Male,Japan,High School,AI/ML,LinkedIn Learning,19,30,64.91,58.43,15,67.12,Tablet,Medium,9,No,82.98,9,5,No,Student,Completed,D,4.3
128,19,Male,USA,Bachelor's,AI/ML,DataCamp,48,21,95.64,81.29,33,33.99,Tablet,Fast,16,Yes,1.73,7,3,No,Employed,Completed,A,4.9
129,45,Male,Mexico,High School,Web Development,Pluralsight,42,26,81.07,77.72,76,66.3,Laptop,Fast,14,Yes,177.18,3,4,No,Employed,Dropped,F,2.0
130,52,Male,Mexico,Bachelor's,AI/ML,edX,13,21,82.54,17.95,17,54.68,Laptop,Fast,10,No,53.7,1,10,No,Unemployed,Completed,B,4.5
131,38,Female,UK,High School,Cybersecurity,LinkedIn Learning,10,2,18.15,5.14,28,4.85,Tablet,Medium,7,Yes,104.32,5,3,Yes,Student,Completed,F,3.5
132,54,Male,USA,High School,AI/ML,LinkedIn Learning,14,6,47.64,85.06,53,91.97,Laptop,Medium,7,Yes,124.71,10,8,No,Student,Completed,F,3.3
133,30,Female,UK,Bachelor's,AI/ML,LinkedIn Learning,9,26,94.93,7.56,50,17.8,Tablet,Medium,6,No,158.22,3,10,No,Student,In Progress,A,4.0
134,44,Female,Nigeria,PhD,Data Science,Udemy,11,9,58.27,39.33,13,45.15,Desktop,Medium,19,No,50.04,2,8,No,Employed,In Progress,F,3.3
135,51,Female,France,Bachelor's,Web Development,Udemy,3,14,10.26,9.42,93,94.76,Desktop,Medium,11,No,143.43,3,3,No,Unemployed,Completed,F,3.5
136,28,Female,India,Master's,Web Development,edX,40,22,73.18,56.4,57,24.73,Tablet,Fast,20,No,23.53,5,9,No,Employed,Completed,C,4.6
137,47,Male,India,PhD,AI/ML,Coursera,12,8,4.29,36.33,34,2.22,Mobile,Slow,15,No,140.85,5,9,No,Employed,Completed,F,3.2
138,22,Male,Japan,High School,Cybersecurity,edX,35,26,74.23,20.25,8,49.0,Laptop,Fast,15,No,183.86,10,7,No,Student,Dropped,F,2.1
139,37,Female,China,High School,Mobile Development,Codecademy,39,3,87.98,59.52,36,22.39,Mobile,Medium,9,No,17.01,8,1,No,Student,Completed,B,5.0
140,43,Male,USA,Master's,Web Development,edX,46,10,42.53,36.34,11,58.2,Laptop,Fast,6,Yes,23.34,4,10,Yes,Unemployed,Dropped,F,1.5
141,17,Female,Nigeria,Master's,Data Science,edX,39,18,41.36,16.68,84,81.71,Mobile,Fast,3,No,111.45,2,3,Yes,Employed,In Progress,F,3.4
142,21,Male,Canada,Bachelor's,AI/ML,Udemy,32,20,30.42,70.01,81,51.12,Laptop,Medium,1,No,9.28,8,8,No,Employed,Completed,F,2.9
143,43,Female,USA,PhD,AI/ML,Pluralsight,39,28,87.69,83.68,10,64.5,Laptop,Medium,8,No,37.48,8,6,No,Employed,Completed,B,4.6
144,43,Female,USA,High School,Cybersecurity,Udemy,14,9,54.78,27.37,26,66.62,Laptop,Medium,14,No,38.04,10,9,No,Student,Dropped,F,1.9
145,35,Female,Nigeria,High School,Mobile Development,DataCamp,44,9,57.93,18.64,87,82.05,Desktop,Fast,13,No,96.25,8,10,No,Employed,Completed,F,4.0
146,45,Female,Nigeria,Bachelor's,Digital Marketing,Skillshare,1,19,66.17,7.53,42,68.79,Desktop,Fast,11,No,49.7,1,9,No,Employed,Completed,D,4.3
147,26,Female,Canada,Bachelor's,Data Science,Codecademy,27,28,30.02,52.79,49,97.62,Laptop,Fast,16,Yes,95.1,9,1,No,Employed,In Progress,F,3.1
148,43,Female,India,High School,Blockchain,Coursera,37,13,43.28,83.13,97,45.62,Desktop,Slow,16,No,104.24,4,6,No,Employed,Dropped,F,1.1
149,40,Female,UK,Bachelor's,Data Science,Udemy,43,1,74.16,25.08,19,5.03,Laptop,Fast,12,No,146.13,4,3,No,Employed,Dropped,F,1.9
150,54,Male,France,High School,Cybersecurity,DataCamp,1,17,98.55,46.06,12,39.4,Laptop,Fast,7,No,189.2,8,5,No,Student,Completed,A,4.9
151,48,Male,Japan,Bachelor's,Cloud Computing,Pluralsight,45,4,3.43,16.08,46,83.99,Desktop,Medium,9,No,100.75,8,1,No,Student,Completed,F,2.8
152,16,Male,India,Master's,Cloud Computing,Codecademy,29,4,4.26,40.42,7,13.31,Laptop,Medium,12,Yes,71.0,6,7,No,Student,Completed,F,2.7
153,42,Female,Canada,Master's,Web Development,edX,24,27,42.81,1.54,100,73.59,Desktop,Medium,6,Yes,51.74,4,6,No,Student,In Progress,F,3.2
154,28,Male,USA,Bachelor's,Web Development,edX,17,16,65.96,91.07,68,53.57,Desktop,Fast,2,No,126.93,3,10,No,Employed,In Progress,D,3.6
155,18,Female,India,Bachelor's,Cybersecurity,Coursera,35,28,38.64,67.66,70,90.07,Tablet,Fast,14,No,188.58,5,5,No,Employed,In Progress,F,3.6
156,54,Female,Germany,Bachelor's,Web Development,Pluralsight,31,16,99.96,33.28,63,73.12,Laptop,Medium,6,Yes,152.93,8,2,No,Unemployed,Completed,A,4.4
157,21,Female,Mexico,High School,Data Science,LinkedIn Learning,42,15,19.54,88.12,43,66.05,Laptop,Medium,4,Yes,41.22,7,8,No,Employed,In Progress,F,2.9
158,23,Female,USA,High School,Cybersecurity,Coursera,32,26,0.79,18.29,11,88.69,Desktop,Medium,7,No,178.66,8,5,No,Employed,In Progress,F,2.3
159,42,Male,France,High School,AI/ML,Udemy,19,6,19.01,7.87,3,90.82,Laptop,Medium,20,No,147.1,1,2,No,Employed,Dropped,F,1.1
160,24,Female,Brazil,Master's,Cloud Computing,edX,31,5,88.68,94.26,39,38.49,Desktop,Fast,16,Yes,25.59,4,4,No,Employed,In Progress,B,3.7
161,52,Female,Canada,Master's,Data Science,LinkedIn Learning,39,22,14.51,30.9,18,92.78,Mobile,Medium,7,No,142.56,9,10,No,Employed,In Progress,F,2.9
162,48,Male,Australia,Bachelor's,Mobile Development,Coursera,20,10,47.9,93.6,53,5.47,Mobile,Medium,6,No,57.87,6,8,No,Student,Completed,F,3.6
163,39,Male,China,Bachelor's,Data Science,Udemy,28,7,41.93,63.76,0,76.26,Desktop,Fast,6,Yes,98.28,10,8,No,Student,Completed,F,3.4
